"SiteCode","Year","SiteStatus","ypr","sp.abun","sp.chao1","sp.shan","sp.evar","sp.rich","VegRichness","VegDiversity","Natural","f.FDis"
"H4",2014,"maturing",8,85,25.5,1.96258614282614,0.424995862270684,15,26,1.78137286853035,0.265830397235953,0.226978093437735
"H5",2014,"maturing",7,1,1,0,1,1,11,0.478586523617257,0.249975055938292,0
"C2b",2014,"control",0,28,5,0.905788508568717,0.349949581535823,4,6,-1.51286766618091,-0.0914330109657118,0.0238488038713555
"C3b",2014,"control",0,77,5,0.936273740848708,0.29803842158357,5,9,0.0679250551063736,0.56134246529597,0.160121975924357
"C1a",2014,"control",0,18,6.33333333333333,1.50407739677627,0.681258761762432,6,3,-1.12827736069541,1.04370396253686,0.269982010935443
"H5",2015,"maturing",8,22,4.5,0.66317945321055,0.393560260213112,4,15,1.46602698208346,0.249975055938292,0.061528545733277
"H1",2015,"maturing",8,16,30,1.92306578432415,0.762965483623373,9,17,1.66085902804518,0.868254897850863,0.298351362104727
"H2",2015,"maturing",9,20,5,1.37051517428796,0.671435869608673,5,16,1.24953535599574,-1.01813201241535,0.191787223743353
"H3",2015,"maturing",8,36,10,1.48967546903964,0.470107786832765,7,8,-0.0471184381391138,-1.54424883387108,0.278270800825127
"C3b",2015,"control",0,84,13,1.69125451029837,0.330865284744169,10,14,1.16656292619904,0.56134246529597,0.222645235345012
"C5a",2015,"control",0,34,3,0.829357184789872,0.505232464091023,3,8,-0.169104002315152,1.05846832787237,0.0432198389821089
"C4a",2015,"control",0,2,1,0,1,1,4,-0.565889936179075,-0.165267523415774,0
"H4",2015,"maturing",9,117,20.5,1.26972844007281,0.35418471974644,13,24,1.13151483047548,0.265830397235953,0.126244665182027
"C5b",2015,"control",0,1,1,0,1,1,2,-1.30193848899098,-0.48811205654303,0
"C1b",2015,"control",0,40,6.5,1.40256795864495,0.412276721899308,6,9,-0.399858715508195,0.220268204597764,0.0745080052662731
"C2a",2015,"control",0,46,7,1.59831088025833,0.530162211405933,7,9,-0.0882629449613187,-1.77628592797237,0.0941940079205784
